	AD	CBD	CD	CSR	DC	GLD	IMS	ISR	LD	LT	MrD	MxD	SB	SD	SSR	TG
AD		160	21065	0	23560	14810	2490	0	1192.5	33922.5	22165	10862.5	5667.5	12722.5	187.5	11325
CBD			540	6090	8500	0	22.5	1085	875	1330	517.5	1495	10122.5	9715	917.5	7815
CD				1285	17597.5	10682.5	2785	0	625	18360	682.5	9967.5	5777.5	4017.5	0	12700
CSR					11842.5	0	0	5450	777.5	1525	0	1292.5	630	40720	5040	21550
DC						2472.5	562.5	727.5	2352.5	7730	5852.5	17405	9322.5	25590	1582.5	32917.5
GLD							2180	0	192.5	3530	750	3350	365	505	0	3490
IMS								0	0	105	0	590	652.5	362.5	0	965
ISR									170	35	0	0	0	4267.5	0	405
LD										0	0	150	1407.5	3732.5	540	4242.5
LT											1827.5	10040	21837.5	8497.5	1280	7840
MrD												237.5	1170	585	0	130
MxD													2655	2722.5	102.5	9532.5
SB														109295	4420	45602.5
SD															8272.5	41902.5
SSR																4242.5
